TS,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
2024-05-17 17:07:28.209131,0,0,0,0,0,0,76,78,10,0,68,169.03,165,-5.00,15.00,-997.00
2024-05-17 17:07:28.307591,0,0,0,0,0,0,76,78,10,0,68,169.17,165,-4.00,14.00,-997.00
2024-05-17 17:07:28.420151,0,0,0,0,0,0,76,78,10,0,68,169.08,165,-4.00,15.00,-1001.00
2024-05-17 17:07:28.516223,0,0,0,0,0,0,76,78,10,0,68,169.09,165,-5.00,15.00,-999.00
2024-05-17 17:07:28.623331,0,0,0,0,0,0,76,78,10,0,68,169.06,165,-5.00,15.00,-999.00
2024-05-17 17:07:28.715516,0,0,0,0,0,0,76,78,10,0,68,169.04,165,-6.00,15.00,-1001.00
2024-05-17 17:07:28.827079,0,0,0,0,0,0,76,78,10,0,68,169.02,165,-6.00,15.00,-1001.00
2024-05-17 17:07:28.918861,0,0,0,0,0,0,76,78,10,0,68,169.04,165,-5.00,17.00,-1001.00
2024-05-17 17:07:29.031112,0,0,0,0,0,0,76,78,10,0,68,169.19,165,-6.00,16.00,-999.00
2024-05-17 17:07:29.122921,0,0,0,0,0,0,76,78,10,0,68,169.00,165,-4.00,15.00,-998.00
2024-05-17 17:07:29.225037,0,0,0,0,0,0,76,78,10,0,68,168.90,165,-5.00,17.00,-997.00
2024-05-17 17:07:29.326924,0,0,0,0,0,0,76,78,10,0,68,168.82,165,-5.00,15.00,-999.00
2024-05-17 17:07:29.445159,0,0,0,0,0,0,76,78,10,0,68,169.40,165,-5.00,14.00,-998.00
2024-05-17 17:07:29.531065,0,0,0,0,0,0,76,78,10,0,68,169.09,165,-5.00,15.00,-1002.00
2024-05-17 17:07:29.645518,0,0,0,0,0,0,76,78,10,0,68,168.88,165,-6.00,14.00,-999.00
2024-05-17 17:07:29.734979,0,0,0,0,0,0,76,78,10,0,68,168.81,165,-5.00,16.00,-999.00
2024-05-17 17:07:29.836967,0,0,0,0,0,0,76,78,10,0,68,169.08,165,-4.00,16.00,-1001.00
2024-05-17 17:07:29.887986,0,0,0,0,0,0,76,78,10,0,68,169.01,165,-6.00,15.00,-1000.00
2024-05-17 17:07:30.055181,0,0,0,0,0,0,76,78,10,0,68,169.14,165,-5.00,16.00,-998.00
2024-05-17 17:07:30.092030,0,0,0,0,0,0,76,78,10,0,68,169.10,165,-6.00,16.00,-1001.00
2024-05-17 17:07:30.260439,0,0,0,0,0,0,76,78,10,0,68,168.95,165,-6.00,16.00,-999.00
2024-05-17 17:07:30.295982,0,0,0,0,0,0,76,78,10,0,68,169.13,165,-5.00,14.00,-1001.00
2024-05-17 17:07:30.464739,0,0,0,0,0,0,76,78,10,0,68,169.19,165,-6.00,15.00,-999.00
2024-05-17 17:07:30.500027,0,0,0,0,0,0,76,78,10,0,68,169.08,165,-4.00,15.00,-1001.00
2024-05-17 17:07:30.669606,0,0,0,0,0,0,76,78,10,0,68,168.99,165,-7.00,15.00,-1000.00
2024-05-17 17:07:30.704453,0,0,0,0,0,0,76,78,10,0,68,169.13,165,-5.00,17.00,-1000.00
2024-05-17 17:07:30.807267,0,0,0,0,0,0,76,78,10,0,68,169.19,165,-6.00,17.00,-998.00
2024-05-17 17:07:30.976623,0,0,0,0,0,0,76,78,10,0,68,169.19,165,0.00,17.00,-1001.00
2024-05-17 17:07:31.009911,0,0,0,0,0,0,76,78,10,0,68,169.19,165,-8.00,16.00,-991.00
2024-05-17 17:07:31.181374,0,0,0,0,0,0,76,78,10,0,68,169.19,165,30.00,-19.00,-1002.00
2024-05-17 17:07:31.213778,0,0,0,0,0,0,76,78,10,0,68,169.19,165,-25.00,5.00,-1005.00
2024-05-17 17:07:31.386321,0,0,1,0,0,0,76,78,10,0,68,169.19,165,-25.00,43.00,-1000.00
2024-05-17 17:07:31.417871,0,0,2,0,0,0,76,78,10,0,68,169.19,165,43.00,46.00,-1150.00
2024-05-17 17:07:31.592059,0,-2,3,0,1,-5,76,79,10,0,68,169.19,166,33.00,16.00,-1291.00
2024-05-17 17:07:31.621799,0,-3,3,0,0,-7,76,79,10,10,68,169.19,166,80.00,-20.00,-1210.00
2024-05-17 17:07:31.795994,0,-1,3,0,0,-8,76,79,20,20,68,169.32,166,10.00,25.00,-943.00
2024-05-17 17:07:31.825791,0,-1,2,0,0,-8,76,79,28,20,68,169.58,166,46.00,40.00,-996.00
2024-05-17 17:07:32.002888,0,-1,2,0,0,-8,76,79,34,30,68,169.46,166,-30.00,22.00,-835.00
2024-05-17 17:07:32.029945,0,-1,2,0,0,-7,76,79,40,40,68,169.73,166,13.00,47.00,-928.00
2024-05-17 17:07:32.131790,0,-2,2,0,0,-6,76,79,46,40,68,169.72,166,24.00,21.00,-869.00
2024-05-17 17:07:32.307740,0,0,2,0,0,-5,76,79,51,50,68,169.58,166,-9.00,46.00,-902.00
2024-05-17 17:07:32.335911,1,0,2,0,0,-3,76,79,54,50,68,170.00,166,53.00,-37.00,-907.00
2024-05-17 17:07:32.513233,0,0,2,0,0,-3,76,79,55,60,68,170.13,167,24.00,17.00,-905.00
2024-05-17 17:07:32.539838,1,0,2,0,0,-2,76,79,57,60,68,169.88,167,14.00,39.00,-979.00
2024-05-17 17:07:32.641859,1,0,2,0,0,-1,76,79,57,60,68,169.78,167,22.00,-2.00,-986.00
2024-05-17 17:07:32.743750,1,0,2,0,0,0,76,79,57,60,68,169.92,167,35.00,0.00,-1064.00
2024-05-17 17:07:32.922128,1,0,2,0,0,0,76,79,57,60,68,169.74,167,19.00,7.00,-911.00
2024-05-17 17:07:32.947659,1,0,2,0,0,0,76,79,57,60,68,169.63,167,37.00,21.00,-1078.00
2024-05-17 17:07:33.126940,2,0,2,0,0,0,76,79,57,60,68,169.79,167,-6.00,40.00,-988.00
2024-05-17 17:07:33.151649,2,0,2,0,0,-1,76,79,56,60,68,169.75,167,62.00,-4.00,-1096.00
2024-05-17 17:07:33.332427,2,0,2,0,0,-1,76,79,57,60,68,170.20,167,86.00,-19.00,-1012.00
2024-05-17 17:07:33.355653,2,0,2,0,0,-1,76,79,58,60,68,169.68,167,106.00,-31.00,-1059.00
2024-05-17 17:07:33.406580,1,0,2,0,0,-1,76,79,59,60,68,169.78,168,45.00,10.00,-1077.00
2024-05-17 17:07:33.559659,1,0,2,0,0,-1,76,78,60,60,68,170.03,168,17.00,1.00,-943.00
2024-05-17 17:07:33.741778,1,0,2,0,0,-1,76,78,61,60,68,170.10,168,-29.00,56.00,-1054.00
2024-05-17 17:07:33.742131,1,0,2,0,0,-1,76,78,63,60,68,169.94,168,10.00,25.00,-930.00
2024-05-17 17:07:33.814568,1,0,2,0,0,-2,76,78,65,60,68,169.73,168,-32.00,23.00,-991.00
2024-05-17 17:07:33.946513,1,0,2,0,0,-2,76,78,66,60,68,169.97,168,7.00,18.00,-1006.00
2024-05-17 17:07:34.019565,1,0,2,0,0,-1,76,78,68,60,68,170.00,168,78.00,16.00,-1018.00
2024-05-17 17:07:34.150944,0,-1,2,0,0,-1,76,78,70,70,68,170.13,168,23.00,7.00,-966.00
